STT,year,location_code,Tong_Import,Tong_Export,Balance
129,1962,SOM,29814394,18145893,-11668501
130,1962,SPM,20788,122235,101447
131,1962,STP,908250,27133,-881117
132,1962,SUR,47754823,44261124,-3493699
133,1962,SWE,2854569280,2662924526,-191644754
134,1962,SYR,159420190,165939809,6519619
135,1962,TCD,20587644,19624548,-963096
136,1962,TGO,22211849,24100177,1888328
137,1962,THA,504562889,390444537,-114118352
138,1962,TLS,20697461,51055031,30357570
139,1962,TTO,238406748,216665689,-21741059
140,1962,TUN,215173803,177345341,-37828462
141,1962,TUR,594336881,371764947,-222571934
142,1962,TWN,360707571,236967839,-123739732
143,1962,UGA,20469697,27998237,7528540
144,1962,URY,192420588,124542403,-67878185
145,1962,USA,15545429331,19535444243,3990014912
146,1962,VCT,610299,0,-610299
147,1962,VEN,885800218,2701493574,1815693356
148,1962,VIR,583534,0,-583534
149,1962,VNM,270264726,56641421,-213623305
150,1962,VUT,10649955,21622714,10972759
151,1962,WSM,689934,0,-689934
152,1962,YEM,845851,5250741,4404890
153,1962,ZAF,1152916064,1086042841,-66873223
154,1963,AGO,118722491,141299465,22576974
155,1963,ALB,8270924,3203308,-5067616
156,1963,ANT,719593009,679670555,-39922454
157,1963,ARE,745974,35957,-710017
158,1963,ARG,850909215,1495775299,644866084
159,1963,ATG,1196,0,-1196
160,1963,AUS,2206842061,2685567195,478725134
161,1963,AUT,1580125634,1188125946,-391999688
162,1963,BDI,11997749,5099680,-6898069
163,1963,BEL,5169371156,5015313790,-154057366
164,1963,BEN,36800386,15228082,-21572304
165,1963,BFA,27247571,9692274,-17555297
166,1963,BGR,129842420,122300245,-7542175
167,1963,BHR,68378964,134057778,65678814
168,1963,BHS,127410161,11450616,-115959545
169,1963,BLZ,139481,56090,-83391
170,1963,BMU,84493495,13715510,-70777985
171,1963,BOL,78413493,60453472,-17960021
172,1963,BRA,1286803897,1411162786,124358889
173,1963,BRB,36281229,38968450,2687221
174,1963,BRN,18374042,16666131,-1707911
175,1963,CAF,22120005,14929601,-7190404
176,1963,CAN,5874463885,6387252930,512789045
177,1963,CHE,3374676134,2365621091,-1009055043
178,1963,CHL,597640622,595931328,-1709294
179,1963,CHN,625517890,693252172,67734282
180,1963,CIV,181541362,267190637,85649275
181,1963,CMR,109088986,153427447,44338461
182,1963,COD,183806670,333383059,149576389
183,1963,COG,61755497,41234250,-20521247
184,1963,COK,1300,0,-1300
185,1963,COL,480445620,479536467,-909153
186,1963,COM,2005117,326510,-1678607
187,1963,CRI,104046158,82734154,-21312004
188,1963,CUB,135683595,223140374,87456779
189,1963,CYP,109121591,58177461,-50944130
190,1963,DEU,12314211522,15091432597,2777221075
191,1963,DJI,20368142,1292459,-19075683
192,1963,DMA,1500,0,-1500
193,1963,DNK,1974480153,1817371226,-157108927
194,1963,DOM,163058693,170809918,7751225
195,1963,DZA,689757491,721708038,31950547
196,1963,ECU,133036815,186036566,52999751
197,1963,EGY,658869588,239975587,-418894001
198,1963,ESH,0,9367,9367
199,1963,ESP,1927326027,930895394,-996430633
200,1963,ETH,84936254,77018499,-7917755
201,1963,FIN,939036117,1001985845,62949728
202,1963,FJI,36977771,41098103,4120332
203,1963,FRA,8285312206,7840974037,-444338169
204,1963,GAB,41247778,95295464,54047686
205,1963,GBR,12097226098,11391335102,-705890996
206,1963,GHA,306903547,262705830,-44197717
207,1963,GIB,705257,27790,-677467
208,1963,GIN,24497702,39375106,14877404
209,1963,GMB,8381704,8866198,484494
210,1963,GNB,16255283,15659001,-596282
211,1963,GNQ,6836352,3411613,-3424739
212,1963,GRC,806125966,265569784,-540556182
213,1963,GTM,156286344,166915521,10629177
214,1963,GUY,46304517,95946789,49642272
215,1963,HKG,1282712649,821007577,-461705072
216,1963,HND,87238664,72552282,-14686382
217,1963,HTI,32712348,45121545,12409197
218,1963,HUN,324616085,275572013,-49044072
219,1963,IDN,550867263,685447131,134579868
220,1963,IND,2123777491,1428471694,-695305797
221,1963,IRL,796332261,535407940,-260924321
222,1963,IRN,485364604,1228919791,743555187
223,1963,IRQ,260694873,964575607,703880734
224,1963,ISL,97086542,83011851,-14074691
225,1963,ISR,586275251,332615854,-253659397
226,1963,ITA,7096073678,4683402414,-2412671264
227,1963,JAM,203706949,254094658,50387709
228,1963,JOR,102589982,5172126,-97417856
229,1963,JPN,5737638214,5012219045,-725419169
230,1963,KEN,234932804,216677740,-18255064
231,1963,KHM,91455428,74116729,-17338699
232,1963,KOR,492409660,85025506,-407384154
233,1963,KWT,251363616,1575117259,1323753643
234,1963,LAO,28527159,636644,-27890515
235,1963,LBN,336697760,103038422,-233659338
236,1963,LBR,343350783,104471611,-238879172
237,1963,LBY,235658157,400484515,164826358
238,1963,LKA,324209123,369205141,44996018
239,1963,MAC,5000,35811,30811
240,1963,MAR,439763971,458071876,18307905
241,1963,MDG,104466859,96190073,-8276786
242,1963,MDV,622319,0,-622319
243,1963,MEX,1191955299,980703544,-211251755
244,1963,MLI,23889394,12888418,-11000976
245,1963,MLT,116493340,9704255,-106789085
246,1963,MMR,221495717,259417618,37921901
247,1963,MNG,659650,4816517,4156867
248,1963,MOZ,107461461,95313012,-12148449
249,1963,MRT,26759931,14950906,-11809025
250,1963,MUS,40554366,105079975,64525609
251,1963,NCL,52730128,45574191,-7155937
252,1963,NER,30688893,25205762,-5483131
253,1963,NGA,517847167,527720272,9873105
254,1963,NIC,90300333,98366710,8066377
255,1963,NLD,7733449392,5975222420,-1758226972
256,1963,NOR,1710916591,1063419226,-647497365
257,1963,NPL,1735973,157390,-1578583
258,1963,NZL,782243257,954517178,172273921
259,1963,OMN,36687128,34310432,-2376696
260,1963,PAK,847642069,451306940,-396335129
261,1963,PAN,292281856,99452306,-192829550
262,1963,PER,529011017,636637979,107626962
263,1963,PHL,771584807,779096800,7511993
264,1963,PNG,55481956,35644287,-19837669
265,1963,POL,628760237,589868728,-38891509
266,1963,PRK,13546523,11489136,-2057387
267,1963,PRT,666611780,423318449,-243293331
268,1963,PRY,41813081,44981045,3167964
269,1963,PYF,131220,0,-131220
270,1963,QAT,43993662,143168257,99174595
271,1963,REU,56866524,39263940,-17602584
272,1963,ROU,270264435,261182422,-9082013
273,1963,RWA,465958,150639,-315319
274,1963,SAU,237461028,905100225,667639197
275,1963,SDN,248518871,210203673,-38315198
276,1963,SEN,224275112,189021720,-35253392
277,1963,SGP,944183592,418580334,-525603258
278,1963,SLE,67532113,45825856,-21706257
279,1963,SLV,144465283,151176136,6710853
280,1963,SOM,21980346,23812363,1832017
